date,open,high,low,close,volume,average,barCount
2019-08-07 14:30:00,133.8,133.83,131.82,132.89,35647,132.701,17523
2019-08-07 15:00:00,132.87,135.2,132.64,134.75,48757,134.043,26974
2019-08-07 16:00:00,134.74,134.92,133.52,133.88,28977,134.147,17853
2019-08-07 17:00:00,133.89,134.06,133.07,133.9,21670,133.618,13497
2019-08-07 18:00:00,133.89,135.24,133.83,134.83,22648,134.653,12602
2019-08-07 19:00:00,134.82,135.52,134.32,135.48,22935,134.97,13782
2019-08-07 20:00:00,135.48,135.65,134.92,135.28,41432,135.328,25569
2019-08-08 14:30:00,136.6,136.92,135.93,136.85,28972,136.575,14723
2019-08-08 15:00:00,136.84,137.9,136.62,137.81,32732,137.208,18765
2019-08-08 16:00:00,137.81,138.28,137.3,138.25,25361,137.889,14220
2019-08-08 17:00:00,138.25,138.39,137.96,138.33,20047,138.196,12329
2019-08-08 18:00:00,138.33,138.4,137.84,138.16,16745,138.178,10326
2019-08-08 19:00:00,138.17,138.49,137.92,138.22,14744,138.203,9633
2019-08-08 20:00:00,138.22,138.99,138.04,138.91,48047,138.599,28710
2019-08-09 14:30:00,138.61,139.38,137.43,137.58,26245,138.395,12015
2019-08-09 15:00:00,137.58,137.99,137.1,137.8,32595,137.567,19147
2019-08-09 16:00:00,137.79,137.88,136.46,136.7,22858,137.112,13637
2019-08-09 17:00:00,136.68,137.84,136.51,137.41,19242,137.028,11279
2019-08-09 18:00:00,137.41,138.43,137.38,137.99,21750,137.981,12599
2019-08-09 19:00:00,137.99,138.34,137.83,138.03,12262,138.082,6975
2019-08-09 20:00:00,138.04,138.51,137.55,137.69,35860,138.064,22698
2019-08-12 14:30:00,137.07,137.86,136.41,136.81,18982,136.84,8662
2019-08-12 15:00:00,136.82,137.34,136.51,137.04,18795,136.939,10488
2019-08-12 16:00:00,137.05,137.21,136.3,137.08,17158,136.752,9614
2019-08-12 17:00:00,137.07,137.37,136.68,136.84,12583,136.994,7792
2019-08-12 18:00:00,136.83,136.89,136.42,136.46,11405,136.638,7224
2019-08-12 19:00:00,136.46,136.6,135.24,135.45,21328,135.907,13464
2019-08-12 20:00:00,135.45,135.95,135.39,135.81,30374,135.687,20679
2019-08-13 14:30:00,135.91,138.8,135.0,138.55,37413,137.084,18684
2019-08-13 15:00:00,138.52,138.76,137.82,137.95,38120,138.217,22657
2019-08-13 16:00:00,137.92,138.44,137.39,138.34,23523,137.913,14216
2019-08-13 17:00:00,138.35,138.48,138.05,138.22,15265,138.291,10146
2019-08-13 18:00:00,138.23,138.4,137.73,138.31,17207,138.148,10956
2019-08-13 19:00:00,138.31,138.73,138.2,138.56,19069,138.506,12151
2019-08-13 20:00:00,138.56,138.67,138.19,138.6,37845,138.468,23584
2019-08-14 14:30:00,136.36,136.92,135.69,136.38,24609,136.282,11410
2019-08-14 15:00:00,136.39,136.4,135.02,135.15,26160,135.711,14858
2019-08-14 16:00:00,135.15,135.34,134.25,134.37,31678,134.888,18289
2019-08-14 17:00:00,134.36,134.58,133.84,133.91,26517,134.213,15498
2019-08-14 18:00:00,133.91,135.12,133.67,134.78,24250,134.532,14182
2019-08-14 19:00:00,134.78,135.03,133.98,134.36,20094,134.431,11743
2019-08-14 20:00:00,134.36,134.93,133.84,133.98,56455,134.194,36736
2019-08-15 14:30:00,134.13,134.58,132.25,133.77,37631,133.477,18362
2019-08-15 15:00:00,133.76,134.06,133.04,133.13,30903,133.579,19819
2019-08-15 16:00:00,133.13,133.73,132.6,133.67,29541,133.098,19695
2019-08-15 17:00:00,133.68,134.1,133.38,133.55,18773,133.699,12340
2019-08-15 18:00:00,133.55,133.85,132.45,132.67,18441,133.275,11824
2019-08-15 19:00:00,132.69,133.52,132.45,133.43,22765,133.12,14213
2019-08-15 20:00:00,133.45,134.18,133.43,133.69,35646,133.855,23023
2019-08-16 14:30:00,134.96,135.45,134.75,134.91,37897,135.113,10675
2019-08-16 15:00:00,134.92,136.05,134.72,136.03,32248,135.39,18118
2019-08-16 16:00:00,136.03,136.2,135.52,135.85,22332,135.888,12166
2019-08-16 17:00:00,135.85,136.24,135.51,135.99,17973,135.962,9205
2019-08-16 18:00:00,135.99,136.33,135.9,136.17,15976,136.141,9151
2019-08-16 19:00:00,136.17,136.19,135.64,135.84,12746,135.903,7551
2019-08-16 20:00:00,135.84,136.46,135.68,136.13,39711,136.054,22834
2019-08-19 14:30:00,137.86,138.27,137.44,137.65,28223,137.88,12573
2019-08-19 15:00:00,137.65,137.86,136.88,137.7,26287,137.491,15256
2019-08-19 16:00:00,137.7,137.99,137.68,137.82,18747,137.824,10733
2019-08-19 17:00:00,137.81,138.17,137.64,138.09,21595,137.884,11704
2019-08-19 18:00:00,138.09,138.5,138.07,138.34,24785,138.265,12521
2019-08-19 19:00:00,138.34,138.35,137.87,138.19,16323,138.115,10110
2019-08-19 20:00:00,138.2,138.55,138.04,138.41,33838,138.354,20408
2019-08-20 14:30:00,138.21,138.37,137.39,137.9,19296,137.858,8562
2019-08-20 15:00:00,137.89,138.28,137.54,138.27,19254,137.948,10489
2019-08-20 16:00:00,138.27,138.71,138.21,138.39,16331,138.458,9440
2019-08-20 17:00:00,138.39,138.59,138.27,138.44,9371,138.441,5486
2019-08-20 18:00:00,138.44,138.49,137.83,137.96,10803,138.16,6732
2019-08-20 19:00:00,137.96,138.0,137.39,137.68,16233,137.654,9379
2019-08-20 20:00:00,137.67,137.9,137.24,137.24,33580,137.592,20162
2019-08-21 14:30:00,138.51,139.5,138.22,139.1,20723,138.933,8837
2019-08-21 15:00:00,139.1,139.19,138.64,138.93,16698,138.865,10037
2019-08-21 16:00:00,138.92,139.11,138.72,138.86,14948,138.938,9395
2019-08-21 17:00:00,138.86,138.91,138.64,138.77,9784,138.776,5581
2019-08-21 18:00:00,138.76,138.78,138.47,138.53,8193,138.641,4483
2019-08-21 19:00:00,138.52,138.83,138.0,138.52,13179,138.534,7721
2019-08-21 20:00:00,138.51,138.95,138.34,138.78,22790,138.698,14448
2019-08-22 14:30:00,138.71,139.2,138.52,138.88,17718,138.869,7565
2019-08-22 15:00:00,138.89,138.9,136.29,136.4,32177,137.394,16515
2019-08-22 16:00:00,136.42,137.1,136.31,136.67,18862,136.798,11002
2019-08-22 17:00:00,136.67,137.24,136.62,137.09,12887,136.989,7691
2019-08-22 18:00:00,137.08,137.59,137.08,137.47,12182,137.368,7498
2019-08-22 19:00:00,137.48,137.78,137.22,137.74,14029,137.498,8592
2019-08-22 20:00:00,137.75,138.36,137.49,137.77,28853,137.922,17279
2019-08-23 14:30:00,137.03,137.61,136.33,136.65,19816,137.032,9865
2019-08-23 15:00:00,136.65,138.35,136.39,137.85,32357,137.58,17963
2019-08-23 16:00:00,137.86,137.99,134.3,134.31,52263,135.58,29391
2019-08-23 17:00:00,134.32,134.52,133.78,134.23,37865,134.128,23437
2019-08-23 18:00:00,134.23,134.23,133.13,134.1,38227,133.654,24331
2019-08-23 19:00:00,134.09,134.09,133.39,133.68,19555,133.702,12499
2019-08-23 20:00:00,133.68,135.3,132.8,133.4,77025,133.299,49766
2019-08-26 14:30:00,135.01,135.28,134.15,134.76,24877,134.747,11315
2019-08-26 15:00:00,134.76,134.94,133.9,134.64,23705,134.424,13273
2019-08-26 16:00:00,134.64,135.16,134.49,134.98,18378,134.915,11275
2019-08-26 17:00:00,134.99,135.45,134.87,135.18,13504,135.15,7167
2019-08-26 18:00:00,135.18,135.32,134.81,134.94,9814,135.033,5556
2019-08-26 19:00:00,134.95,135.07,134.73,135.0,12989,134.875,8103
2019-08-26 20:00:00,134.99,135.56,134.76,135.54,32247,135.13,19267
2019-08-27 14:30:00,136.38,136.72,136.08,136.52,22557,136.41,9651
2019-08-27 15:00:00,136.53,136.72,136.03,136.07,18315,136.367,9605
2019-08-27 16:00:00,136.09,136.26,135.23,135.66,17634,135.766,9479
2019-08-27 17:00:00,135.67,135.8,134.78,134.83,15963,135.319,10553
2019-08-27 18:00:00,134.8,135.83,134.66,135.83,15444,135.306,9726
2019-08-27 19:00:00,135.83,136.12,135.36,136.03,12527,135.699,7847
2019-08-27 20:00:00,136.04,136.32,135.15,135.75,33077,135.688,21304
2019-08-28 14:30:00,134.91,135.22,133.55,134.43,24803,134.216,12421
2019-08-28 15:00:00,134.42,135.05,134.18,134.91,22902,134.623,13967
2019-08-28 16:00:00,134.92,135.3,134.57,135.1,17274,134.959,11148
2019-08-28 17:00:00,135.11,135.32,134.87,135.17,11496,135.1,7243
2019-08-28 18:00:00,135.18,135.39,134.83,135.2,11447,135.166,7394
2019-08-28 19:00:00,135.2,135.63,135.1,135.59,9826,135.333,6137
2019-08-28 20:00:00,135.58,135.76,135.24,135.55,24813,135.491,16327
2019-08-29 14:30:00,137.25,138.3,137.02,137.99,29637,137.874,14085
2019-08-29 15:00:00,137.98,138.17,136.91,137.62,28120,137.66,17602
2019-08-29 16:00:00,137.6,138.2,137.54,138.02,14861,137.961,8844
2019-08-29 17:00:00,137.97,138.42,137.86,138.14,17347,138.163,10087
2019-08-29 18:00:00,138.14,138.41,138.06,138.24,10645,138.227,6683
2019-08-29 19:00:00,138.24,138.44,138.04,138.09,12566,138.227,7884
2019-08-29 20:00:00,138.1,138.3,137.69,138.16,27607,137.987,17206
2019-08-30 14:30:00,139.15,139.18,138.28,138.42,17390,138.725,7710
2019-08-30 15:00:00,138.41,138.59,137.54,137.69,20360,137.938,11345
2019-08-30 16:00:00,137.68,137.78,136.27,137.08,22690,136.895,12624
2019-08-30 17:00:00,137.1,137.27,136.81,137.16,11275,137.101,7063
2019-08-30 18:00:00,137.16,137.26,136.94,137.11,8571,137.073,5400
2019-08-30 19:00:00,137.11,137.37,136.71,136.9,17454,137.075,10889
2019-08-30 20:00:00,136.9,137.98,136.66,137.92,50733,137.414,30245
2019-09-03 14:30:00,136.52,137.2,136.34,137.05,19174,136.712,8510
2019-09-03 15:00:00,137.04,137.04,135.85,136.75,27796,136.404,17007
2019-09-03 16:00:00,136.75,136.81,136.11,136.57,19295,136.493,12288
2019-09-03 17:00:00,136.57,136.68,136.2,136.36,10679,136.411,6643
2019-09-03 18:00:00,136.36,136.51,135.71,135.73,13315,136.059,8371
2019-09-03 19:00:00,135.73,136.09,135.7,135.94,13152,135.916,8117
2019-09-03 20:00:00,135.93,136.37,135.81,136.12,31099,136.109,19795
2019-09-04 14:30:00,137.3,137.36,136.85,137.06,20827,137.156,9737
2019-09-04 15:00:00,137.06,137.13,136.48,137.02,20229,136.91,12643
2019-09-04 16:00:00,137.03,137.43,136.94,137.32,18922,137.165,10001
2019-09-04 17:00:00,137.32,137.48,137.01,137.36,13904,137.273,8207
2019-09-04 18:00:00,137.36,137.54,137.23,137.28,11708,137.401,6520
2019-09-04 19:00:00,137.27,137.33,137.0,137.17,14175,137.161,7894
2019-09-04 20:00:00,137.18,137.69,137.17,137.69,25609,137.472,14572
2019-09-05 14:30:00,139.09,139.67,138.76,139.47,33724,139.121,16080
2019-09-05 15:00:00,139.48,140.39,139.44,139.88,44335,139.904,25463
2019-09-05 16:00:00,139.89,140.05,139.36,139.4,18966,139.781,11120
2019-09-05 17:00:00,139.41,139.66,139.36,139.38,15619,139.503,9406
2019-09-05 18:00:00,139.38,139.54,139.2,139.44,12811,139.4,7824
2019-09-05 19:00:00,139.44,139.78,139.38,139.6,15456,139.587,9638
2019-09-05 20:00:00,139.6,140.05,139.59,140.05,36459,139.881,19636
2019-09-06 14:30:00,140.01,140.18,138.41,139.06,27389,139.193,13807
2019-09-06 15:00:00,139.07,139.64,138.89,139.41,23624,139.284,14060
2019-09-06 16:00:00,139.41,139.46,138.97,139.03,16956,139.211,11528
2019-09-06 17:00:00,139.02,139.06,138.2,138.79,20477,138.747,12814
2019-09-06 18:00:00,138.8,139.46,138.76,139.42,14468,139.183,8579
